PA14_ID	GeneName	Essentiality	KEGG_ID	COG_ID	FUNCTION
PA14_32100	xylY	Nonessential	K05550	COG5517	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_32110	xylZ	Nonessential	K05784	COG0543	Coenzyme metabolism / Energy production and conversion
PA14_32130	xylL	Nonessential	K05783	COG1028	"Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only"
PA14_32140	antC	Nonessential	K11311	COG0543	Coenzyme metabolism / Energy production and conversion
PA14_32150	antB	Nonessential	K05600	COG5517	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_32160	antA	Nonessential	K05599	COG4638	Inorganic ion transport and metabolism / General function prediction only
PA14_32190		Nonessential		COG2207	Transcription
PA14_32200	catR	Nonessential		COG0583	Transcription
PA14_32220	catB	Nonessential	K01856	COG4948	"Cell envelope biogenesis, outer membrane / General function prediction only"
PA14_32230	catC	Nonessential	K03464	COG4829	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_32240	catA	Nonessential	K03381	COG3485	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_32250		Nonessential			
PA14_32270	oprD3	Nonessential			
PA14_32280		Nonessential		COG4859	Function unknown
PA14_32290		Nonessential			
PA14_32300		Nonessential		COG4886	Function unknown
PA14_32310		Nonessential			
PA14_32330		Nonessential		COG2807	Inorganic ion transport and metabolism
PA14_32340		Nonessential		COG0590	"Nucleotide transport and metabolism / Translation, ribosomal structure and biogenesis"
PA14_32350		Nonessential		COG0666	General function prediction only
PA14_32360		Nonessential		COG0583	Transcription
PA14_32370		Nonessential		COG2318	Function unknown
PA14_32380	oprN	Nonessential		COG1538	"Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion"
PA14_32390	mexF	Nonessential	K03296	COG0841	Defense mechanisms
PA14_32400	mexE	Nonessential		COG0845	"Cell envelope biogenesis, outer membrane"
PA14_32410	mexT	Nonessential		COG0583	Transcription
PA14_32420		Nonessential		COG0604	Energy production and conversion / General function prediction only
PA14_32440		Nonessential		COG0662	Carbohydrate transport and metabolism
PA14_32450		Nonessential		COG2207	Transcription
PA14_32460		Nonessential		COG2207	Transcription
PA14_32470		Nonessential			
PA14_32480		Nonessential			
PA14_32490		Nonessential			
PA14_32500		Nonessential		COG1309	Transcription
PA14_32520		Nonessential		COG2141	Energy production and conversion
PA14_32530		Nonessential		COG2863	Energy production and conversion
PA14_32540		Nonessential		COG3258	Energy production and conversion
PA14_32570		Nonessential		COG0642	Signal transduction mechanisms
PA14_32580		Nonessential		COG0745	Signal transduction mechanisms / Transcription
PA14_32590	dipZ2	Nonessential	K04084	COG4232	"Posttranslational modification, protein turnover, chaperones / Energy production and conversion"
PA14_32600		Nonessential		COG0526	"Posttranslational modification, protein turnover, chaperones / Energy production and conversion"
PA14_32610	dsbG	Nonessential	K03805	COG1651	"Posttranslational modification, protein turnover, chaperones"
PA14_32630		Nonessential		COG2124	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_32640		Nonessential		COG4313	Energy production and conversion
PA14_32650		Nonessential		COG0625	"Posttranslational modification, protein turnover, chaperones"
PA14_32660		Nonessential			
PA14_32670		Nonessential		COG0179	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_32690	gtdA	Nonessential	K00450	COG3435	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_32700		Nonessential		COG0583	Transcription
PA14_32710		Nonessential		COG1595	Transcription
PA14_32720		Nonessential		COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA14_32740	optS	Nonessential	K02014	COG1629	Inorganic ion transport and metabolism
PA14_32750		Nonessential		COG3182	Function unknown
PA14_32770		Nonessential			
PA14_32780		Nonessential		COG2831	Intracellular trafficking and secretion
PA14_32790		Nonessential		COG3210	Intracellular trafficking and secretion
PA14_32810		Nonessential			
PA14_32820		Nonessential			
PA14_32830		Nonessential		COG3209	"Cell envelope biogenesis, outer membrane"
PA14_32840		Nonessential		COG3209	"Cell envelope biogenesis, outer membrane"
PA14_32850		Nonessential		COG3209	"Cell envelope biogenesis, outer membrane"
PA14_32860		Nonessential		COG3153	General function prediction only
PA14_32880		Nonessential		COG2227	Coenzyme metabolism
PA14_32890		Nonessential			
PA14_32905		Nonessential		COG2382	Inorganic ion transport and metabolism
PA14_32930		Nonessential			
PA14_32940		Nonessential		COG3283	Transcription / Amino acid transport and metabolism
PA14_32950		Nonessential		COG1574	General function prediction only
PA14_32970		Nonessential		COG0583	Transcription
PA14_32985	gcvH2	Nonessential	K02437	COG0509	Amino acid transport and metabolism
PA14_33000	gcvP2	Nonessential	K00281	COG1003	Amino acid transport and metabolism
PA14_33010	glyA2	Nonessential	K00600	COG0112	Amino acid transport and metabolism
PA14_33030	sdaA	Nonessential	K01752	COG1760	Amino acid transport and metabolism
PA14_33040	gcvT2	Nonessential	K00605	COG0404	Amino acid transport and metabolism
PA14_33050		Nonessential			
PA14_33060		Nonessential			
PA14_33070		Nonessential			
PA14_33080		Nonessential		COG0330	"Posttranslational modification, protein turnover, chaperones"
PA14_33110		Nonessential		COG0330	"Posttranslational modification, protein turnover, chaperones"
PA14_33120		Nonessential			
PA14_33130		Nonessential		COG2217	Inorganic ion transport and metabolism
PA14_33150		Nonessential			
PA14_33160		Nonessential			
PA14_33170		Nonessential		COG0583	Transcription
PA14_33190		Nonessential		COG1289	Function unknown
PA14_33200		Nonessential			
PA14_33220		Nonessential		COG1566	Defense mechanisms
PA14_33230		Nonessential			
PA14_33240		Nonessential		COG2326	Function unknown
PA14_33250		Nonessential			
PA14_33260	pvdS	Nonessential	K03088	COG1595	Transcription
PA14_33270	pvdG	Nonessential		COG3208	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_33280	pvdL	Nonessential		COG1020	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_33290		Nonessential		COG3617	Transcription
PA14_33300		Nonessential			
PA14_33310		Nonessential			
PA14_33320		Nonessential			
PA14_33330		Nonessential			
PA14_33340		Nonessential		COG1203	Defense mechanisms
PA14_33350		Nonessential		COG1518	Defense mechanisms
PA14_33360		Nonessential			
PA14_33370		Nonessential			
PA14_33380		Nonessential		COG4313	Energy production and conversion
PA14_33410	opdJ	Nonessential			
PA14_33420		Nonessential		COG1335	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_33430		Nonessential		COG1741	General function prediction only
PA14_33440		Nonessential		COG0583	Transcription
PA14_33450	treA	Nonessential	K01194	COG1626	Carbohydrate transport and metabolism
PA14_33460		Nonessential		COG4244	Function unknown
PA14_33480	sndH	Nonessential		COG2133	Carbohydrate transport and metabolism
PA14_33500	pvdH	Nonessential	K00836	COG0160	Amino acid transport and metabolism
PA14_33510		Nonessential		COG3251	Function unknown
PA14_33520		Nonessential		COG3208	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_33530		Nonessential		COG0803	Inorganic ion transport and metabolism
PA14_33540		Nonessential		COG1108	Inorganic ion transport and metabolism
PA14_33550		Nonessential		COG1121	Inorganic ion transport and metabolism
PA14_33560		Nonessential		COG0803	Inorganic ion transport and metabolism
PA14_33570		Essential			
PA14_33580		Nonessential			
PA14_33590		Nonessential			
PA14_33600		Nonessential		COG3182	Function unknown
PA14_33610		Nonessential		COG1020	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_33630	pvdJ	Nonessential		COG1020	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_33650	pvdD	Nonessential		COG1020	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_33680	fpvA	Nonessential	K16088	COG4773	Inorganic ion transport and metabolism
PA14_33690	pvdE	Nonessential	K06160	COG4615	"Secondary metabolites biosynthesis, transport, and catabolism / Inorganic ion transport and metabolism"
PA14_33700	pvdF	Nonessential			
PA14_33710	pvdO	Nonessential		COG1262	Function unknown
PA14_33720	pvdN	Nonessential		COG0520	"Posttranslational modification, protein turnover, chaperones"
PA14_33730		Nonessential		COG2355	Amino acid transport and metabolism
PA14_33740	pvdP	Nonessential			
PA14_33750	opmQ	Nonessential		COG1538	"Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion"
PA14_33760		Nonessential		COG1136	Defense mechanisms
PA14_33770		Nonessential		COG0845	"Cell envelope biogenesis, outer membrane"
PA14_33780		Nonessential		COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA14_33800		Nonessential		COG1595	Transcription
PA14_33810	pvdA	Nonessential	K10531	COG3486	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_33820	pvdQ	Nonessential	K07116	COG2366	General function prediction only
PA14_33830		Nonessential		COG0735	Inorganic ion transport and metabolism
PA14_33840		Nonessential		COG0583	Transcription
PA14_33860	lldA	Nonessential	K00101	COG1304	Coenzyme transport and metabolism
PA14_33870		Nonessential			
PA14_33880		Nonessential			
PA14_33890	aldG	Nonessential	K07302	COG2080	Energy production and conversion
PA14_33900		Nonessential		COG1529	Energy production and conversion
PA14_33910		Nonessential		COG1840	Inorganic ion transport and metabolism
PA14_33920		Nonessential		COG2197	Signal transduction mechanisms / Transcription
PA14_33930		Nonessential			
PA14_33940		Nonessential		COG2849	Function unknown
PA14_33960		Nonessential		COG3501	Function unknown
PA14_33970		Nonessential			
PA14_33980		Nonessential			
PA14_33990		Nonessential		COG0542	"Posttranslational modification, protein turnover, chaperones"
PA14_34000		Essential		COG3520	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_34010		Nonessential		COG3519	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_34020		Essential		COG3518	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_34030		Essential		COG3157	"Intracellular trafficking, secretion,    and vesicular transport"
PA14_34050		Nonessential		COG3517	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_34070		Nonessential		COG3516	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_34080		Nonessential			
PA14_34100		Nonessential		COG3522	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_34110		Nonessential		COG3455	"Intracellular    trafficking, secretion, and vesicular transport"
PA14_34130		Nonessential		COG3523	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_34140		Nonessential		COG3515	"Intracellular trafficking, secretion, and    vesicular transport"
PA14_34150	sfnR	Nonessential	K11917	COG1221	Transcription / Signal transduction mechanisms
PA14_34170		Essential			
PA14_34180	msuE	Nonessential	K00299	COG0431	General function prediction only
PA14_34190	msuD	Nonessential	K04091	COG2141	Energy production and conversion
PA14_34200	msuC	Nonessential		COG1960	Lipid metabolism
PA14_34210	sfnR	Nonessential		COG1221	Transcription / Signal transduction mechanisms
PA14_34230		Nonessential		COG1485	General function prediction only
PA14_34250		Nonessential		COG0584	Energy production and conversion
PA14_34260	metI-1	Nonessential	K02072	COG2011	Inorganic ion transport and metabolism
PA14_34270	metN-1	Nonessential	K02071	COG1135	Inorganic ion transport and metabolism
PA14_34280	metQ-l	Nonessential	K02073	COG1464	Inorganic ion transport and metabolism
PA14_34290		Nonessential		COG2141	Energy production and conversion
PA14_34300		Nonessential		COG1960	Lipid metabolism
PA14_34320		Nonessential		COG1960	Lipid metabolism
PA14_34330		Nonessential		COG0446	General function prediction only
PA14_34340	mtlZ	Nonessential	K00847	COG0524	Carbohydrate transport and metabolism
PA14_34350	mtlY	Nonessential	K00854	COG1070	Carbohydrate transport and metabolism
PA14_34360	mtlD	Nonessential	K00045	COG0246	Carbohydrate transport and metabolism
PA14_34370	mtlk	Nonessential	K10111	COG3839	Carbohydrate transport and metabolism
PA14_34390	mtlG	Nonessential	K10229	COG0395	Carbohydrate transport and metabolism
PA14_34410	mtlF	Nonessential	K10228	COG1175	Carbohydrate transport and metabolism
PA14_34420	mtlE	Nonessential	K10227	COG1653	Carbohydrate transport and metabolism
PA14_34440	mtlR	Nonessential		COG2207	Transcription
PA14_34450		Nonessential		COG2207	Transcription
PA14_34460		Nonessential		COG2128	Function unknown
PA14_34490		Nonessential		COG1960	Lipid metabolism
PA14_34500		Nonessential		COG1116	Inorganic ion transport and metabolism
PA14_34510	srpL	Nonessential	K02051	COG0715	Inorganic ion transport and metabolism
PA14_34520	srpM	Nonessential	K02050	COG0600	Inorganic ion transport and metabolism
PA14_34540		Nonessential		COG2141	Energy production and conversion
PA14_34550		Nonessential		COG1960	Lipid metabolism
PA14_34580		Nonessential		COG1960	Lipid metabolism
PA14_34600	gapB	Nonessential	K00131	COG1012	Energy production and conversion
PA14_34610		Nonessential			
PA14_34630	gnuT	Nonessential	K03299	COG2610	Carbohydrate transport and metabolism / Amino acid transport and metabolism
PA14_34640	gntK	Nonessential	K00851	COG3265	Carbohydrate transport and metabolism
PA14_34660	gntR	Nonessential	K06145	COG1609	Transcription
PA14_34670		Nonessential		COG3450	General function prediction only
PA14_34680		Nonessential		COG0665	Amino acid transport and metabolism
PA14_34690		Nonessential		COG0583	Transcription
PA14_34700		Nonessential		COG1680	Defense mechanisms
PA14_34710		Nonessential		COG2814	Carbohydrate transport and metabolism
PA14_34720		Nonessential			
PA14_34730		Nonessential		COG1396	Transcription
PA14_34740		Nonessential			
PA14_34750	tauD	Nonessential	K03119	COG2175	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_34770		Nonessential		COG0715	Inorganic ion transport and metabolism
PA14_34780		Nonessential		COG1116	Inorganic ion transport and metabolism
PA14_34790		Nonessential		COG0600	Inorganic ion transport and metabolism
PA14_34800		Nonessential		COG1280	Amino acid transport and metabolism
PA14_34810	mxaA	Nonessential		COG1020	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_34820		Nonessential		COG2175	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_34830		Nonessential		COG2175	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_34840		Nonessential		COG1020	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_34850		Nonessential		COG2606	Function unknown
PA14_34870	chiC	Nonessential		COG3469	Carbohydrate transport and metabolism
PA14_34880		Nonessential		COG2188	Transcription
PA14_34900		Nonessential		COG1053	Energy production and conversion
PA14_34920		Nonessential		COG1146	Energy production and conversion
PA14_34930		Nonessential		COG1413	Energy production and conversion
PA14_34940		Nonessential		COG3536	Function unknown
PA14_34960	opbA	Nonessential	K07267	COG3659	"Cell envelope biogenesis, outer membrane"
PA14_34970	gcd	Nonessential	K00117	COG4993	Carbohydrate transport and metabolism
PA14_34990		Nonessential		COG1629	Inorganic ion transport and metabolism
PA14_35000		Nonessential			
PA14_35010		Nonessential			
PA14_35020		Nonessential		COG0501	"Posttranslational modification, protein turnover, chaperones"
PA14_35030		Nonessential			
PA14_35040		Nonessential			
PA14_35050		Nonessential		COG0501	"Posttranslational modification, protein turnover, chaperones"
PA14_35060		Nonessential			
PA14_35070		Nonessential		COG2207	Transcription
PA14_35080	arsH	Nonessential	K11811	COG0431	General function prediction only
PA14_35100	arsC	Nonessential	K03741	COG0394	Signal transduction mechanisms
PA14_35110	arsB	Nonessential	K03893	COG1055	Inorganic ion transport and metabolism
PA14_35130	arsR	Nonessential	K03892	COG0640	Transcription
PA14_35140		Nonessential		COG2207	Transcription
PA14_35150		Nonessential		COG1064	General function prediction only
PA14_35160		Nonessential			
PA14_35170	soxR	Nonessential	K13639	COG0789	Transcription
PA14_35190	pbpC	Nonessential	K03587	COG0768	"Cell envelope biogenesis, outer membrane"
PA14_35200		Nonessential			
PA14_35210		Nonessential		COG1309	Transcription
PA14_35230		Nonessential			
PA14_35240		Nonessential		COG0504	Nucleotide transport and metabolism
PA14_35250		Nonessential		COG0583	Transcription
PA14_35270		Nonessential		COG2010	Energy production and conversion
PA14_35290	gnd	Nonessential	K06151	COG2303	Amino acid transport and metabolism
PA14_35300		Nonessential			
PA14_35320	kguD	Nonessential	K00032	COG1052	Energy production and conversion / Coenzyme metabolism / General function prediction only
PA14_35330	kguT	Nonessential		COG2271	Carbohydrate transport and metabolism
PA14_35340	kguK	Nonessential	K11441	COG0524	Carbohydrate transport and metabolism
PA14_35360	kguE	Nonessential			
PA14_35370	ptxS	Nonessential	K02525	COG1609	Transcription
PA14_35380	ptxR	Nonessential		COG0583	Transcription
PA14_35390	pvcD	Nonessential		COG2863	Energy production and conversion
PA14_35400	pvcC	Nonessential		COG2368	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_35420	pvcB	Nonessential		COG2175	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_35430	pvcA	Nonessential		COG3207	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_35440	ansA	Nonessential	K01424	COG0252	"Amino acid transport and metabolism / Translation, ribosomal structure and biogenesis"
PA14_35460		Nonessential		COG1115	Amino acid transport and metabolism
PA14_35470		Nonessential			
PA14_35490	lpdV	Nonessential	K00382	COG1249	Energy production and conversion
PA14_35500	bkdB	Nonessential	K09699	COG0508	Energy production and conversion
PA14_35520	bkdA2	Nonessential	K00167	COG0022	Energy production and conversion
PA14_35530	bkdA1	Nonessential	K00166	COG1071	Energy production and conversion
PA14_35540	bkdR	Nonessential		COG1522	Transcription
PA14_35550	pslO	Nonessential			
PA14_35570	pslN	Nonessential	K03168	COG3569	"DNA replication, recombination, and repair"
PA14_35590	pslM	Nonessential		COG1053	Energy production and conversion
PA14_35600	pslL	Nonessential		COG3594	Carbohydrate transport and metabolism
PA14_35620	pslK	Nonessential		COG0728	General function prediction only
PA14_35630	pslJ	Nonessential			
PA14_35640	pslI	Nonessential		COG0438	"Cell envelope biogenesis, outer membrane"
PA14_35650	pslH	Nonessential		COG0438	"Cell envelope biogenesis, outer membrane"
PA14_35670	pslG	Nonessential		COG3664	Carbohydrate transport and metabolism
PA14_35680	pslF	Nonessential		COG0438	"Cell envelope biogenesis, outer membrane"
PA14_35690	pslE	Nonessential		COG3206	"Cell envelope biogenesis, outer membrane"
PA14_35700		Essential			
PA14_35710		Nonessential			
PA14_35720		Nonessential			
PA14_35730		Nonessential			
PA14_35740	tpnA	Nonessential		COG4644	"DNA replication, recombination, and repair"
PA14_35750	tpnC	Nonessential			
PA14_35760		Essential		COG0456	General function prediction only
PA14_35770		Nonessential			
PA14_35780		Essential			
PA14_35790		Nonessential		COG5310	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_35800		Nonessential			
PA14_35810		Nonessential		COG4422	Function unknown
PA14_35820	tnpS	Nonessential			
PA14_35830	tnpT	Nonessential			
PA14_35840		Nonessential			
PA14_35850		Essential			
PA14_35860		Nonessential		COG0531	Amino acid transport and metabolism
PA14_35880		Nonessential		COG1012	Energy production and conversion
PA14_35890		Nonessential		COG0160	Amino acid transport and metabolism
PA14_35900		Nonessential		COG2084	Lipid metabolism
PA14_35920		Nonessential		COG4147	General function prediction only
PA14_35930		Nonessential			
PA14_35940		Nonessential		COG0318	"Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism"
PA14_35950		Nonessential		COG1028	"Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only"
PA14_35970		Nonessential		COG1960	Lipid metabolism
PA14_35980		Nonessential			
PA14_35990		Nonessential		COG3173	General function prediction only
PA14_36000	prpR	Nonessential		COG3829	Transcription / Signal transduction mechanisms
PA14_36010		Nonessential			
PA14_36020		Nonessential		COG3008	General function prediction only
PA14_36030		Nonessential		COG2995	Function unknown
PA14_36050		Nonessential		COG1012	Energy production and conversion
PA14_36060		Nonessential		COG3802	Function unknown
PA14_36070		Nonessential		COG4948	"Cell envelope biogenesis, outer membrane / General function prediction only"
PA14_36080	yfaV	Nonessential		COG2271	Carbohydrate transport and metabolism
PA14_36090	opdG	Nonessential			
PA14_36100		Nonessential		COG1995	Coenzyme metabolism
PA14_36110		Nonessential		COG3618	General function prediction only
PA14_36120		Nonessential		COG2271	Carbohydrate transport and metabolism
PA14_36130		Nonessential		COG3181	Function unknown
PA14_36150		Nonessential			
PA14_36170		Nonessential		COG3333	Function unknown
PA14_36180		Nonessential		COG0583	Transcription
PA14_36190		Nonessential			
PA14_36200		Nonessential		COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA14_36220	gltJ	Nonessential	K02029	COG0765	Amino acid transport and metabolism
PA14_36230	glnP	Nonessential	K02029	COG0765	Amino acid transport and metabolism
PA14_36250		Nonessential			
PA14_36260		Nonessential		COG4943	Signal transduction mechanisms
PA14_36270		Nonessential		COG2084	Lipid metabolism
PA14_36280		Nonessential		COG1359	Function unknown
PA14_36290	yncB	Nonessential	K07119	COG2130	General function prediction only
PA14_36300		Nonessential		COG1309	Transcription
PA14_36310	hcnC	Nonessential	K10816	COG0665	Amino acid transport and metabolism
PA14_36320	hcnB	Nonessential	K10815	COG0446	General function prediction only
PA14_36330	hcnA	Nonessential	K10814	COG1034	Energy production and conversion
PA14_36345	exoY	Nonessential	K16637		
PA14_36350		Nonessential		COG0740	"Posttranslational modification, protein turnover, chaperones / Intracellular trafficking and secretion"
PA14_36360		Nonessential		COG5478	Function unknown
PA14_36370		Nonessential		COG2170	Function unknown
PA14_36375		Nonessential			
PA14_36390		Nonessential		COG2890	"Translation, ribosomal structure and biogenesis"
PA14_36400		Nonessential			
PA14_36410		Nonessential			
PA14_36420		Nonessential		COG0642	Signal transduction mechanisms
PA14_36450		Nonessential			
PA14_36460		Nonessential			
PA14_36470		Nonessential			
PA14_36480		Essential			
PA14_36490		Nonessential			
PA14_36500		Nonessential		COG1363	Carbohydrate transport and metabolism
PA14_36520		Nonessential			
PA14_36530		Essential			
PA14_36540		Nonessential		COG1506	Amino acid transport and metabolism
PA14_36550		Essential			
PA14_36560		Nonessential			
PA14_36570	glgA	Nonessential	K00703	COG0297	Carbohydrate transport and metabolism
PA14_36580	glgB	Nonessential	K01236	COG0296	Carbohydrate transport and metabolism
PA14_36590	malQ	Nonessential	K00705	COG1640	Carbohydrate transport and metabolism
PA14_36605		Nonessential		COG3280	Carbohydrate transport and metabolism
PA14_36620		Nonessential			
PA14_36630	glgX	Nonessential	K02438	COG1523	Carbohydrate transport and metabolism
PA14_36650		Nonessential		COG0517	General function prediction only
PA14_36660		Nonessential		COG1063	Amino acid transport and metabolism / General function prediction only
PA14_36670		Nonessential		COG1801	Function unknown
PA14_36680		Nonessential		COG3568	General function prediction only
PA14_36690	ybhO	Nonessential	K06132	COG1502	Lipid metabolism
PA14_36700		Nonessential		COG0392	Function unknown
PA14_36710	glgB	Nonessential	K00700	COG0296	Carbohydrate transport and metabolism
PA14_36730		Nonessential		COG3281	Carbohydrate transport and metabolism
PA14_36740		Nonessential		COG0366	Carbohydrate transport and metabolism
PA14_36760		Nonessential		COG1273	"Replication, recombination, and repair"
PA14_36770		Essential			
PA14_36780		Nonessential		COG1285	Function unknown
PA14_36790		Nonessential			
PA14_36810	katE	Nonessential	K03781	COG0753	Inorganic ion transport and metabolism
PA14_36820		Nonessential		COG3729	General function prediction only
PA14_36830		Nonessential			
PA14_36840	glgP	Nonessential	K00688	COG0058	Carbohydrate transport and metabolism
PA14_36850		Nonessential			
PA14_36860		Nonessential			
PA14_36870		Nonessential		COG1028	"Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only"
PA14_36880		Nonessential		COG1546	General function prediction only
PA14_36890		Nonessential			
PA14_36900		Nonessential			
PA14_36910		Nonessential		COG3285	"DNA replication, recombination, and repair"
PA14_36920		Nonessential			
PA14_36930		Nonessential			
PA14_36940		Nonessential		COG2323	Function unknown
PA14_36960		Nonessential		COG0025	Inorganic ion transport and metabolism
PA14_36980		Nonessential		COG3652	Function unknown
PA14_36990		Nonessential		COG2200	Signal    transduction mechanisms
PA14_37000	cupA5	Nonessential		COG3121	Cell motility and secretion / Intracellular trafficking and secretion
PA14_37010	cupA4	Nonessential			
PA14_37030	cupA3	Nonessential	K07347	COG3188	Cell motility and secretion / Intracellular trafficking and secretion
PA14_37040	cupA2	Nonessential	K07346	COG3121	Cell motility and secretion / Intracellular trafficking and secretion
PA14_37060	cupA1	Nonessential	K07345	COG3539	Cell motility and secretion / Intracellular trafficking and secretion
PA14_37070		Nonessential		COG3969	General function prediction only
PA14_37080		Nonessential		COG1475	Transcription
PA14_37090	gbsA	Nonessential		COG1012	Energy production and conversion
PA14_37100		Nonessential		COG2303	Amino acid transport and metabolism
PA14_37120		Nonessential		COG0583	Transcription
PA14_37130		Nonessential			
PA14_37140		Nonessential		COG0583	Transcription
PA14_37150		Essential			
PA14_37170		Nonessential			
PA14_37190	ada	Essential	K10778	COG0350	"DNA replication, recombination, and repair"
PA14_37200		Nonessential			
PA14_37210		Nonessential		COG4336	Function unknown
PA14_37220		Nonessential		COG0583	Transcription
PA14_37250		Nonessential		COG2814	Carbohydrate transport and metabolism
PA14_37260	opdO	Nonessential			
PA14_37270		Nonessential		COG1540	General function prediction only
PA14_37290		Essential		COG2049	Amino acid transport and metabolism
PA14_37310		Nonessential		COG1984	Amino acid transport and metabolism
PA14_37320		Nonessential		COG3652	Function unknown
PA14_37340		Nonessential		COG0028	"acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase"
PA14_37350		Nonessential			
PA14_37360		Nonessential		COG0300	General function prediction only
PA14_37370		Nonessential		COG0657	Lipid metabolism
PA14_37380		Nonessential		COG2072	Inorganic ion transport and metabolism
PA14_37400		Nonessential		COG2207	Transcription
PA14_37410		Nonessential			
PA14_37420		Nonessential		COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA14_37430		Nonessential		COG1595	Transcription
PA14_37440		Nonessential		COG2814	Carbohydrate transport and metabolism
PA14_37460		Nonessential			
PA14_37470		Nonessential		COG2141	Energy production and conversion
PA14_37490		Nonessential		COG1629	Inorganic ion transport and metabolism
PA14_37510		Nonessential		COG4106	General function prediction only
PA14_37520		Nonessential			
PA14_37530		Nonessential		COG0596	General function prediction only
PA14_37550		Nonessential		COG5517	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_37560	asnB	Nonessential	K01953	COG0367	Amino acid transport and metabolism
PA14_37570		Nonessential		COG4638	Inorganic ion transport and metabolism / General function prediction only
PA14_37580	lrp	Nonessential		COG1522	Transcription
PA14_37590	kynB	Nonessential	K07130	COG1878	Amino acid transport and metabolism
PA14_37610		Nonessential		COG3844	Amino acid transport and metabolism
PA14_37630		Nonessential		COG1113	Amino acid transport and metabolism
PA14_37640		Nonessential			
PA14_37650		Nonessential			
PA14_37660		Essential		COG0583	Transcription
PA14_37670		Nonessential			
PA14_37680		Nonessential			
PA14_37690		Nonessential		COG5001	Signal transduction mechanisms
PA14_37710	fusA2	Nonessential	K02355	COG0480	"Translation, ribosomal structure and biogenesis"
PA14_37730		Nonessential		COG1629	Inorganic ion transport and metabolism
PA14_37745		Nonessential		COG2192	"Posttranslational modification, protein turnover, chaperones"
PA14_37760		Nonessential			
PA14_37770		Nonessential		COG0637	General function prediction only
PA14_37780		Nonessential		COG1434	Function unknown
PA14_37790	pcoA	Nonessential		COG2132	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_37810	pcoB	Nonessential	K07233	COG3667	Inorganic ion transport and metabolism
PA14_37820		Nonessential		COG3673	Function unknown
PA14_37830	iscS	Nonessential	K04487	COG1104	Amino acid transport and metabolism
PA14_37840		Nonessential		COG4172	General function prediction only
PA14_37850	yejE	Nonessential	K13895	COG4239	General function prediction only
PA14_37870		Nonessential		COG4174	General function prediction only
PA14_37880		Nonessential		COG4166	Amino acid transport and metabolism
PA14_37900		Nonessential		COG4771	Inorganic ion transport and metabolism
PA14_37910		Nonessential		COG0583	Transcription
PA14_37915		Nonessential			
PA14_37940	cynR	Nonessential	K11921	COG0583	Transcription
PA14_37950	cynT	Nonessential	K01673	COG0288	Inorganic ion transport and metabolism
PA14_37965	cynS	Nonessential	K01725	COG1513	Inorganic ion transport and metabolism
PA14_37980		Nonessential		COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA14_37990		Nonessential		COG1595	Transcription
PA14_38000		Nonessential			
