cpd24339	C18H24NO4	Cocaethylene
cpd01831	C5H5N2O2	4-Imidazoleacetate
cpd14935	C39H65N7O18P3S	3-Oxostearoyl-CoA
cpd04539	C4H6NO7P	2-Amino-3-oxo-4-phosphonooxybutyrate
cpd04535	C5H8O	3-Methylbut-2-enal
cpd04534	C5H10O	3-Methylbutanal
cpd04536	COS	Carbonyl sulfide
cpd04531	C6H12O5	1,5-Anhydroglucitol
cpd04533	C5H12O	Isoamyl alcohol
cpd07048	C9H19N	(+)-N-Methylconiine
cpd08680	C20H32O	Abietol
cpd08687	C20H29O2	Neoabietic acid
cpd08686	C20H29O2	L-Pimaric acid
cpd08685	C20H30O	Abietal
cpd15430	C81H156O17P2	cardiolipin tetraoctadecanoyl
cpd08688	C20H34O	Aphidicolan-16beta-ol
cpd28833	C15H10O6	4',5,6,7-tetrahydroxyisoflavone
cpd05338	C10H16NO9S2	Sinigrin
cpd05334	C17H21N2O10S2	4-Methoxyglucobrassicin
cpd05337	C14H18NO10S2	Sinalbin
cpd05331	C12H22NO10S3	Glucoraphanin
cpd23541	C28H36N7O19P3S	gentisyl-CoA
cpd23540	C5H9NO	(2S)-2-hydroxy-2-methylbutanenitrile
cpd23545	C5H8FO7P	(3R,4S)-5-fluoro-5-deoxy-d-ribulose-1-phosphate
cpd23544	C5H8FO7P	5-fluoro-5-deoxy-D-ribose-1-phosphate
cpd06685	C27H32O14	Narirutin
cpd25917	C60H86O2	DMK-10
cpd25914	C54H84O4	ubiquinol(9)
cpd25915	C59H92O4	ubiquinol(10)
cpd06681	C27H32O14	Naringin
cpd25913	C44H68O4	ubiquinol(7)
cpd09488	C8H10O	p-Ethylphenol
cpd09489	C8H10O2	1-(4'-Hydroxyphenyl)ethanol
cpd09484	C15H13O4	2,2-Bis(4-hydroxyphenyl)-propanoic acid
cpd09485	C15H16O4	2,3-Bis(4-hydroxyphenyl)-1,2-propanediol
cpd09482	C15H16O3	2,2-Bis(4-hydroxyphenyl)-1-propanol
cpd09483	C15H14O2	4,4'-Dihydroxy-alpha-methylstilbene
cpd09480	C15H16O3	1,2-Bis(4-hydroxyphenyl)-2-propanol
cpd05483	C15H10O6	Aureusidin
cpd05486	C40H56O3	Antheraxanthin
cpd05484	C15H10O7	Bracteatin
cpd05485	C15H12O5	Butein
cpd00306	C5H12O5	Xylitol
cpd00307	C4H5N3O	Cytosine
cpd00304	C20H28O	Retinal
cpd00305	C12H17N4OS	Thiamin
cpd00302	C10H13N5O	Zeatin
cpd00300	C5H4N4O3	Urate
cpd00301	C17H28O	Sterol
cpd10488	C20H24N3O7S	(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene
cpd10489	C20H24N3O7S	(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene
cpd01302	C31H47N9O18P3S2	Biotinyl-CoA
cpd01305	C31H43O8R	Cucurbitacin
cpd01307	C5H12O5	D-Lyxitol
cpd01306	C30H50O	Cycloartenol
cpd01309	C6H12O6	D-Hamamelose
cpd10481	C10H10O3	1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene
cpd10483	C10H8O	(1R,2S)-Naphthalene epoxide
cpd10484	C10H8O	(1S,2R)-Naphthalene epoxide
cpd09155	C19H14O6	Rabelomycin
cpd09157	C25H24O8	Urdamycinone B
cpd09150	C19H12O4	Tetrangulol
cpd09158	C31H34O10	100-1
cpd09159	C37H44O13	Urdamycin B
cpd15435	C40H74O10P	cyclopropane phosphatidylglycerol dihexadec-9,10-cyclo-anoyl
cpd19519	C15H9O2	Phenanthrene-4-carboxylate
cpd19518	C16H8O4	Phenanthrene-4,5-dicarboxylate
cpd17069	C28H52NO12P	Pseudomonas aeruginosa Lipid X
cpd17068	C56H102N2O23P2	Pseudomonas aeruginosa Lipid A precursor
cpd19515	C16H12O2	cis-4,5-Dihydroxy-4,5-dihydropyrene
cpd17066	C80H146N2O25P2	Pseudomonas aeruginosa Lipid A
cpd17065	C156H274N4O95P5	Pseudomonas aeruginosa LPS core+KDO2-lipidA
cpd17064	C152H268N2O93P5	Pseudomonas aeruginosa LPS core precursor 7+KDO2-lipidA
cpd19511	C15H26O	8-epi-Cedrol
cpd19510	C6H4Cl2O5	2,4-Dichloro-3-oxoadipate
cpd19512	C2H3Cl3	1,1,1-Trichloroethane
cpd17282	C11H8O4	1,4-Dihydroxy-6-naphthoate
cpd22828	C12H22NO4	N-(octanoyl)-L-homoserine
cpd22827	C10H16NO5	N-(3-oxohexanoyl)-L-homoserine
cpd22826	C16H28NO5	N-(3-oxododecanoyl)-L-homoserine
cpd22825	C8H14NO5	N-(3-hydroxybutanoyl)-L-homoserine
cpd22824	C12H20NO5	N-(3-oxooctanoyl)-L-homoserine
cpd22823	C8H13O3	3-oxooctanoate
cpd22822	C15H20N5O17P3	ADP ribose 1''-phosphate
cpd22821	C20H39N3O16P	4-O-phosphohygromycin
cpd16888	C18H31O2	octadecadienoate (n-C18:2)
cpd16884	C6H12O2	isobutyl acetate
cpd16885	C1697H2999O101	lanosterol ester, yeast-specific
cpd16883	C1695H2995O101	fecosterol ester, yeast-specific
cpd16880	C1695H2995O101	episterol ester, yeast-specific
cpd16881	C34H54O6	ergosterol 3-beta-D-glucoside
cpd15753	C117H228O135P24	Anteisopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted
cpd15752	C117H228O135P24	Isopentadecanoyllipoteichoic acid (n=24), linked, unsubstituted
cpd15751	C115H224O135P24	Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted
cpd15750	C121H236O135P24	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted
cpd15757	C267H480O255P24	Stearoyllipoteichoic acid (n=24), linked, glucose substituted
cpd15756	C259H464O255P24	Myristoyllipoteichoic acid (n=24), linked, glucose substituted
cpd15755	C263H472O255P24	Palmitoyllipoteichoic acid (n=24), linked, glucose substituted
cpd15754	C119H232O135P24	Isohexadecanoyllipoteichoic acid (n=24), linked, unsubstituted
cpd15759	C265H476O255P24	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, glucose substituted
cpd15758	C265H476O255P24	Isoheptadecanoyllipoteichoic acid (n=24), linked, glucose substituted
cpd17931	C10H15N3O12P2	Phosphonoformyl-CMP
cpd17933	C5H9O7P	2-Phosphinomethylmalate
cpd17932	C4H5O7P	Carboxyphosphonopyruvate
cpd17935	C6H12NO5P	N-Adpt
cpd17937	C13H24N3O7P	N-Acetylbialaphos
cpd17936	C12H22N3O7P	N-Acetyldemethylphosphinothricin tripeptide
cpd17939	C15H24O	(5S)-Albaflavenol
cpd17938	C7H14NO5P	N-Acetylphinothricin
cpd02762	C35H33N4O4Mg	Mg-Protoporphyrin IX 13-monomethyl ester
cpd02763	C12H21N3O8	N4-(Acetyl-beta-D-glucosaminyl)asparagine
cpd02760	C12H21O14P	cellobiose 6-phoshate
cpd02766	C11H18N3O6S	gamma-L-Glutamyl-L-cysteinyl-beta-alanine
cpd02767	C8H13O5	(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate
cpd02768	C16H16O4	1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene
cpd02769	C9H14NO2	1-(4-Hydroxyphenyl)-2-(methylamino)ethanol
cpd23528	C25H37ClN7O18P3S	4-chloro-3-hydroxybutyryl-CoA
cpd03203	C5H9O6	L-Xylonate
cpd15577	C14H22N3O15P2	uridine 5''-diphospho-
cpd12256	C16H24N6O4R	L-Isoleucyl-tRNA(Ile)
cpd12255	C13H18N6O4RS	L-Cysteinyl-tRNA(Cys)
cpd12253	C20H29N3O17P3R2	DNA N4-methylcytosine
cpd15572	C29H53N2O8PRS	trans-octadec-2-enoyl-[acyl-carrier protein]
cpd15571	C27H47N2O8PRS	trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]
cpd15570	C25H43N2O8PRS	trans-3-cis-7-myristoleoyl-[acyl-carrier protein]
cpd12259	C4H5NO3R	N-Acetyl-D-amino acid
cpd15578	C14H18N2O16P2	UDP-4-keto-pyranose
cpd21853	C5H4N3O2	2-amino-4-carboxypyrimidine
cpd00948	C32H46N7O19P3S	Isohexenyl-glutaconyl-CoA
cpd00949	C24H37O5	3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate
cpd00940	C21H44N7O18P2	Dihydrostreptomycin 3'alpha,6-bisphosphate
cpd00941	C27H51NO8PR	1-Acyl-2-oleoyl-sn-glycero-3-phosphocholine
cpd00942	C6H14NO8P	1-Amino-1-deoxy-scyllo-inositol 4-phosphate
cpd00943	C6H12O21P5	Inositol 1,3,4,5,6-pentakisphosphate
cpd00945	C6H8O9P	2-Dehydro-3-deoxy-D-galactonate 6-phosphate
cpd00946	C63H103NO12P2	Undecaprenyl diphospho N-acetyl-glucosamine
cpd00947	C31H56NO13R	LacCer
cpd24577	C27H30O16	quercetin-3-O-glucoside-7-O-rhamnoside
cpd15993	C42H72O36	maltooligosyltrehalose
cpd23701	C34H52N7O24P2	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-D-lysine
cpd24572	C16H14O6	2,5,7-trihydroxy-4'-methoxyisoflavanone
cpd14484	C11H19O15P2R	NDP-glucose
cpd14485	C12H21O11R	6-(alpha-D-Mannosyl)-beta-D-mannosyl-R
cpd14486	C14H24NO11R	4-(N-Acetyl-beta-D-glucosaminyl)-beta-D-mannosyl-R
cpd14487	C21H20O8	Flavonol 3-O-D-glycoside
cpd14480	C8H16N5O2R2	[Cytochrome c]-N(omega)-methylarginine
cpd14481	C2H6NR	2-Arylethylamine
cpd14482	C4H8NOR	N-Acetyl-2-arylethylamine
cpd24570	C5H13N2O6P	CPD-538
cpd24327	C15H26O	1-naphthalenol, decahydro-1,4a-dimethyl-7-(1-methylethenyl)-, (1S,4aS,7R,8aS)-
cpd24320	C23H17O9	1-[4,5,7,10-tetrahydroxy-3-(3-oxobutanoyl)anthracen-2-yl]pentane-1,2,4-trione
cpd24321	C23H14O10	premithramycinone G
cpd24329	C15H24	(+)-selina-4,11-diene
cpd03413	C5H9NO7P	L-Glutamyl 1-phosphate
cpd03140	C19H28O3	19-Hydroxytestosterone
cpd03411	C17H36N6O5S	Glutathionylspermidine
cpd03410	C5H8N2O2	2-Amino-4-cyanobutanoic acid
cpd03145	C18H22O3	16alpha-Hydroxyestrone
cpd03416	C36H40N4O8	CoproporphyrinogenI
cpd03147	C19H26O3	2-Methoxyestradiol-17beta
cpd03414	C40H36N4O16	UroporphyrinogenI
cpd03149	C55H69N4O6Mg	Chlorophyll b
cpd03148	C55H72MgN4O5	Chlorophyll a
cpd15283	C18H40NO6P	Phytosphingosine 1-phosphate
cpd14628	C40H58O	Demethylspheroidene
cpd19580	C8H6O6	Phthalate 3,4-cis-dihydrodiol
cpd14623	C40H60O	Chloroxanthin
cpd15457	C272H451N14O160P4	(enterobacterial common antigen)x4 core oligosaccharide lipid A
cpd11502	C20H35N2O8PRS	6-methyl-trans-oct-2-enoyl-ACP
cpd12640	C56H95N3O31R	GM1
cpd11500	C20H35N2O9PRS	6-methyl-3-oxo-octanoyl-ACP
cpd11501	C20H37N2O9PRS	6-methyl-3-hydroxy-octanoyl-ACP
cpd11506	C22H39N2O8PRS	8-methyl-trans-dec-2-enoyl-ACP
cpd11507	C22H41N2O8PRS	8-methyl-decanoyl-ACP
cpd11504	C22H39N2O9PRS	8-methyl-3-oxo-decanoyl-ACP
cpd12641	C49H74N4O39R2	N-Acetyl-beta-D-galactosaminyl-1,4-beta-D-glucuronyl-N-acetyl-1,3- beta-D-galactosaminylproteoglycan
cpd11508	C24H43N2O9PRS	10-methyl-3-oxo-dodecanoyl-ACP
cpd11509	C24H45N2O9PRS	10-methyl-3-hydroxy-dodecanoyl-ACP
cpd12642	C22H35O22R2S	6-Sulfo-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,6-alpha-D-glucosyl- 1,3-1-O-alkyl-2-O-acylglycerol
cpd24246	C19H28N4O16P2	UDP-2,4-diacetamido-2,4,6-trideoxy-alpha-D-glucopyranose
cpd02570	C6H6O6	Parapyruvate
cpd15965	C70H133N2O8PRS	cyclopropanated keto-meroacid ACP (1 cyclopropane ring)
cpd11258	C15H12O4	3',5'-Dihydroxyflavanone
cpd14993	C41H58O2	R.g.-Keto I
cpd15966	C71H135N2O8PRS	cyclopropanated keto-meroacid ACP (2 cyclopropane rings)
cpd16523	C26H31O9	Limonoate A-ring-lactone
cpd16522	C9H6NO2	4-Hydroxy-2-quinolone
cpd22559	C10H15N6O12P3	3'-amino-3'-deoxy ATP
cpd22005	C6H4N2	3-cyanopyridine
cpd22007	C6H10O6	3-dehydro-alpha-D-glucose
cpd27074	C15H10O2	Flavones
cpd22000	C17H22NO11S2	3-benzoyloxypropyl-glucosinolate
cpd08145	C12H12NO2	Indolebutyric acid
cpd21779	C10H16O2	1-Hydroxy-2-oxolimonenes
cpd01159	C11H17N4O5	Coformycin
cpd01155	C5H16N2	Cadaverine
cpd01156	C27H44O3	Calcitriol
cpd01157	C16H28N2O11	Chitobiose
cpd01150	C3H5NO	Acrylamide
cpd24245	C53H78N7O18P3S	16-hydroxy-hentriaconta-3,6,9,12,19,22,25,28-octaene-15-oyl-CoA
cpd24247	C17H32	1,8-heptadecadiene
cpd10014	C14H10	Anthracene
cpd10013	C15H9O5	6-Hydroxydaidzein
cpd24241	C32H45O3	hentriaconta-3,6,9,12,19,22,25,28-octaene-16-one-15-oate
cpd24240	C53H76N7O18P3S	hentriaconta-3,6,9,12,19,22,25,28-octaene-16-one-15-oyl-CoA
cpd24243	C31H46O	hentriaconta-3,6,9,12,19,22,25,28-octaene-16-one
cpd23962	C15H21O2	1-deoxypentalenate
cpd23200	C76H125NO26P2	beta-D-Galf-(1->5)-beta-D-Galf-Rha-GlcNAc-P-P-C50
cpd24521	C16H19N5O6	kinetin-9-N-glucoside
cpd23202	C15H11O6	phenoxy radical VI
cpd16355	C35H31N4O6Mg	Chlorophyllide b
cpd23204	C15H9O5	phenoxy radical VII
cpd23205	C15H10O5	QVE
cpd23206	C55H90O8P	DPR
cpd23759	C18H24N6O15P2	GDP-2-acetamido-2,6-dideoxy-alpha-D-xylo-hexos-4-ulose
cpd24528	C22H35N5O11	dihydrozeatin-9-N-glucoside-O-glucoside
cpd23757	C16H25N6O15P2	GDP-D-glucosamine
cpd24249	C17H28	1,8,11,14-heptadecatetraene
cpd24248	C17H30	1,8,11-heptadecatriene
cpd20955	C14H14O4	(+)-Columbianetin
cpd20954	C5H9NO3	cis-3-Hydroxy-L-proline
cpd20957	H2O(C10H17N5O4)n	[L-Asp(4-L-Arg)]n
cpd20956	C15H24	5-Epiaristolochene
cpd20951	C15H29N2O11S	1-O-[2-(L-Cysteinamido)-2-deoxy-alpha-D-glucopyranosyl]-1D-myo-inositol
cpd20950	C12H24NO10	1-O-(2-Amino-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol
cpd20953	C33H36N4O7	Oxidized dinoflagellate luciferin
cpd20952	C33H39N4O6	Dinoflagellate luciferin
cpd20959	C15H24O	Solavetivol
cpd20958	C4H7NO4(C10H17N5O4)n	[L-Asp(4-L-Arg)]n-L-Asp
cpd03552	C20H33O6	Thromboxane B2
cpd03550	C20H33O6	6-Keto-PGF1a
cpd03557	C6H12NO7PR	L-1-Lysophosphatidylethanolamine
cpd12738	C10H20N3O2R2	Protein N6,N6,N6-trimethyl-L-lysine
cpd03554	C20H31O4	12(S)-HPETE
cpd12882	C4H8O2S2	Oxidized dithioerythritol
cpd12736	C8H15N3O2R2	Protein N6-methyl-L-lysine
cpd12737	C9H17N3O2R2	Protein N6,N6-dimethyl-L-lysine
cpd12884	C9H11N2O5RS	Penicilloic acid
cpd13429	C21H16O8	NAME
cpd13428	C22H27O10RS	9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-docosanoyl-[acp]
cpd16419	C11H14N4O7PS	6-Methylthioinosine-5'-monophosphate
cpd16418	C6H6N4S	6-Methylmercaptopurine
cpd13422	C18H23O8RS	3,5,7,11,13,15-Heptaoxo-9-hydroxy-octadecanoyl-[acp]
cpd13421	C17H21O8RS	3,5,7,11,13,15-Heptaoxo-9-hydroxy-heptadecanoyl-[acp]
cpd13420	C16H19O8RS	3,5,7,11,13,15-Heptaoxo-9-hydroxy-hexadecanoyl-[acp]
cpd13427	C21H25O10RS	9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-henicosanoyl-[acp]
cpd13426	C20H23O10RS	9-Hydroxy-3,5,7,11,13,15,17,19-nonaoxo-eicosanoyl-[acp]
cpd16413	C18H18N2OF	Didemethylcitalopram
cpd16412	C19H20N2OF	Demethylcitalopram
cpd08679	C20H32	Palustradiene
cpd03318	C9H14NO3	L-Normetanephrine
cpd03314	C9H9O5	Vanillylmandelic acid
cpd03315	C7H6O3	Gentisate aldehyde
cpd03316	C9H14NO2	3-Methoxytyramine
cpd03317	C10H16NO3	L-Metanephrine
cpd03310	C8H7O5	Dihydroxymandelic acid
cpd03311	C9H10O3	3-Methoxy-4-hydroxyphenylacetaldehyde
cpd03312	C9H9O4	Homovanillate
cpd03313	C9H10O4	3-Methoxy-4-hydroxyphenylglycolaldehyde
cpd12082	C26H37N5O29P5R3	m7G(5')pppR-RNA
cpd12464	C18H30O15*2	1,4-alpha-D-Glucooligosaccharide
cpd25693	C54H85O24	oleanolate-3-beta-D-glucuronoside-(3,1)-galactoside-(4,1)-glucoside-28-glucoside
cpd25692	C48H75O19	oleanolate 3-beta-D-glucuronoside-(3,1)-galactoside-28-glucoside
cpd12086	C15H23O13P2R3	5'-Dephospho-DNA
cpd25694	C48H74O19	oleanolate-3-beta-D-glucuronoside-(3,1)-galactoside-(4,1)-glucoside
cpd25697	C36H55O10	gypsogenate-28-beta-D-glucoside
cpd12085	C5H8O4*2	1,4-beta-D-Xylan
cpd25699	C36H55O11	16-alpha--hydroxygypsogenic acid-28-beta-D-glucoside
cpd25698	C30H44O6	16-alpha-hydroxygypsogenate
cpd12088	CO2R2	Carboxylic ester
cpd02312	C21H32O2	5alpha-Pregnane-3,20-dione
cpd26803	C8H9NO3	D-4-hydroxyphenylglycine
cpd26805	C7H13O10P	D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE
cpd26807	C5H10O5	D-ARABINOSE
cpd26806	C5H10O5	D-APIOSE
cpd00469	C14H25NO11	N-Acetyllactosamine
cpd01979	C7H12NO3	5-Acetamidopentanoate
cpd15149	C15H23N5O8P	Dihydrozeatin riboside monophosphate
cpd01972	C8H6O2Cl	4-Chlorophenylacetate
cpd01973	C5H13N4O	4-Guanidinobutanamide
cpd15145	C15H21N5O8P	cis-Zeatin riboside monophosphate
cpd01976	C10H8O3	Hymecromone
cpd01977	C4H6NO7P	4-Phospho-L-aspartate
cpd01974	C5H8NO5	4-Hydroxy-L-glutamate
cpd15141	C5H11NO2	Valine
cpd04330	C24H31N7O6	N-Acetylpuromycin
cpd02409	C12H6O4	Dibenzo[1,4]dioxin-2,3-dione
cpd02408	C17H26N7O6	Deaminohydroxyblasticidin S
cpd02958	C17H28O3	Methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate
cpd02403	C19H32O2	Androstan-3alpha,17beta-diol
cpd02402	C10H14N6O6P	Adenosine 5'-phosphoramidate
cpd02957	C14H19NO14S	4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 6-sulfate
cpd02400	C18H32O16	Planteose
cpd02951	C21H29N7O15P2	(6S)-6-beta-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide
cpd02950	C20H34NO16R	alpha-D-Galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D- glucosaminyl-R
cpd02405	C33H56O6	Cholesteryl-beta-D-glucoside
cpd02952	C26H28O14	Apiin
cpd08445	C19H20N2O	Vellosimine
cpd08444	C19H20N2O	16-Epivellosimine
cpd08447	C16H23O9	7-Deoxyloganate
cpd08446	C19H22N2O	Sarpagan-17-ol
cpd08337	C5H11O4S2	2-(S)-Hydroxypropyl-CoM
cpd08336	C5H9O4S2	2-Oxopropyl-CoM
cpd08335	C5H11O4S2	2-(R)-Hydroxypropyl-CoM
cpd08442	C10H9N4O6	9-Riburonosylhypoxanthine
cpd08339	C10H11N5O4	5'-Dehydroadenosine
cpd08338	C3H4O6S	(S)-3-Sulfolactate
cpd08449	C3H7NO5P	3-Amino-2-oxopropyl phosphate
cpd08448	C24H37O4	3alpha,12alpha-Dihydroxy-5beta-chol-6-enoate
cpd01814	C7H8N2O4R	5-Oxoprolyl-peptide
cpd01816	C12H6O2	Acenaphthoquinone
cpd01811	C28H36N7O17P3SF	4-Fluorobenzoyl-CoA
cpd01810	C25H41N8O17P3S	4-Aminobutanoyl-CoA
cpd01813	C5H9O3	5-Hydroxypentanoate
cpd01818	C12H15N3O3S	Albendazole S-oxide
cpd23989	C24H35O5	3 beta-hydroxy-7,12-diketocholanate
cpd23988	C55H70N4O6	phaeophytin b
cpd29699	C7H14N2O4	L-ala-L-thr
cpd29698	C9H18N2O3	L-ala-L-leu
cpd23983	C11H14O2	(S)-pyrethrolone
cpd29697	C9H14N4O3	L-ala-L-his
cpd29696	C8H15N3O4	L-ala-L-gln
cpd29691	C7H13N3O4	gly-L-gln
cpd23986	C30H50O3	11alpha,30-dihydroxy-beta-amyrin
cpd23985	C30H50O2	30-hydroxy-beta-amyrin
cpd23984	C22H40N3O15	N,N''-diacetylchitotriose
cpd21053	C20H32	ent-Pimara-9(11),15-diene
cpd21052	C6H13N2O	(S)-Piperidine-2-carboxamide
cpd21050	C18H15O7	3',4',5'-O-Trimethyltricetin
cpd21057	C20H32	Terpentetriene
cpd21056	C4H6NO5	threo-3-Hydroxy-D-aspartate
cpd21055	C14H17OR	12'-apo-Carotenal
cpd21054	C29H39O2R	9-cis-Epoxycarotenoid
cpd21059	C20H32	Elisabethatriene
cpd21058	C20H34O7P2	Terpentedienyl diphosphate
cpd29690	C6H11N3O4	gly-L-asn
cpd00141	C3H5O2	Propionate
cpd00142	C4H5O3	Acetoacetate
cpd00143	C9H7O3	Phenylpyruvate
cpd00144	C15H19N2O18P2	UDPglucuronate
cpd00145	C3H3O4	Hydroxypyruvate
cpd00146	CH2NO5P	Carbamoylphosphate
cpd00147	C11H15N5O3S	5-Methylthioadenosine
cpd29079	C30H50O	alpha-seco-amyrin
cpd00149	Co	Co2+
cpd25974	C22H28N9O13P3S	AThTP
cpd17998	C20H26O3	Momilactone A
cpd25970	C6H8O8	L-idarate
cpd29693	C7H14N2O3S	gly-L-met
cpd09316	C6H7O2Cl	3-Chloro-cis-1,2-dihydroxycyclohexa-3,5-diene
cpd09317	C6H3O4	trans-4-Carboxymethylenebut-2-en-4-olide
cpd09314	C6H2O5Cl2	2,5-Dichloro-4-oxohex-2-enedioate
cpd09315	C6H5O5Cl	2-Chloro-3-oxoadipate
cpd09312	C6HO4Cl3	2,3,5-Trichloro-cis,cis-muconate
cpd09313	C6HO4Cl2	2,5-Dichloro-carboxymethylenebut-2-en-4-olide
cpd09310	C6H3O2Cl3	3,4,6-Trichlorocatechol
cpd09311	C6H5O2Cl3	3,4,6-Trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
cpd04809	C5H5N5S	Thioguanine
cpd04808	C4H10N2O2PCl2	Phosphamide mustard
cpd03828	C3H8N2O2	2,3-Diaminopropionate
cpd29692	C7H11N2O5	gly-L-gly
cpd00496	C5H8O5	D-Arabinono-1,4-lactone
cpd00365	C20H30O	Retinol
cpd00366	C5H12O5	Ribitol
cpd00495	C6H8NO4	4-Methylene-L-glutamate
cpd00492	C8H15NO6	N-Acetyl-D-mannosamine
cpd00493	C8H12N2O5P	Pyridoxamine phosphate
cpd00362	C18H22O2	Estrone
cpd00363	C2H6O	Ethanol
cpd11263	C48H77N7O21P3S	(24R,25R)-3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26- oyl-CoA
cpd11262	C48H77N7O20P3S	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
cpd11261	C18H25NO6	Senecionine N-oxide
cpd00368	C5H10O5	D-Lyxose
cpd00369	C27H44O6	Ecdysone
cpd00498	C6H9O4	2-Aceto-2-hydroxybutanoate
cpd11264	C15H10O3	7-Hydroxyisoflavone
cpd01367	C7H16NO2	Acetylcholine
cpd01366	C3H7NO	Acetoxime
cpd01365	C10H10N4O5	5'-Oxoinosine
cpd09179	C27H29NO11	D 788-1
cpd01363	C6H3O8	3-Oxalomalate
cpd01362	C6H8O5	3-Ethylmalate
cpd01361	C6H4NO3	2-Nitrophenol
cpd01360	C6H7NO	o-Aminophenol
cpd09173	C21H14O8	Aklanonic acid
cpd09176	C22H20O8	Aklavinone
cpd09177	C22H20O9	epsilon-Rhodomycinone
cpd01369	C3H6O	2-Propen-1-ol
cpd01368	C3H3N	Vinyl cyanide
cpd17044	C12H8ON2	1-hydroxyphenazine
cpd17040	C5H9O4P	DMAP
cpd17049	C3H7ON	3-aminopropanaldehyde
cpd12582	C11H16O19P3R2	Phosphatidylinositol-4,5-bisphosphate
cpd23569	C61H100O12P2	alpha-D-glucopyranosyl-diphosphoundecaprenol
cpd23568	C79H127O28P2	GlcA-beta-(1,2)-D-Man-alpha-(1,3)-D-Glc-beta-(1,4)-Glc-alpha-1-diphosphoundecaprenol
cpd26586	C44H81O16P	6-O-mycolyl-trehalose-6-phosphate
cpd26587	C97H187O17P	6-O-cis-methoxy-mycolyl-trehalose-6-phosphate
cpd26581	C47H82N7O17P3S	cerotoyl-CoA
cpd26582	C48H81N7O19P3S	2-carboxyl-cerotoyl-CoA
cpd23560	C20H34O	manoyl oxide
cpd23562	C20H34O	13-epi manoyl oxide
cpd26588	C98H189O17P	6-O-trans-methoxy-mycolyl-trehalose-6-phosphate
cpd26589	C98H187O17P	6-O-cis-keto-mycolyl-trehalose-6-phosphate
cpd23567	C73H120O22P2	D-Man-alpha-(1,3)-D-Glc-beta-(1,4)-Glc-alpha-1-diphosphoundecaprenol
cpd23566	C67H110O17P2	D-Glc-beta-(1,4)-Glc-alpha-1-diphosphoundecaprenol
cpd22618	C22H32O2	5-pentadecatrienyl resorcinol-3-methyl ether
cpd22610	C3H11N2O	N4-hydroxy-1-aminopropane
cpd22611	C5H13N2O2	N4-acetyl-N4-hydroxy-1-aminopropane
cpd22616	C37H56N7O17P3S	16:3-delta9,12,15-CoA
cpd22617	C21H30O2	5-pentadecatrienyl resorcinol
cpd27033	C15H12O2	FLAVANONES
cpd23698	C15H25O14	2-[2-O-(alpha-D-mannopyranosyl)-alpha-D-glucopyranosyl]-D-glycerate
cpd23697	C15H24O17P	2-[2-O-(alpha-D-mannopyranosyl)-alpha-D-glucopyranosyl]-3-phospho-D-glycerate
cpd23695	C29H33N9O12	tetrahydropteroyl tri-L-glutamate
cpd23692	C8H7NO4S2	benzylglucosinolate aglycone
cpd07758	C20H22O6	Pinoresinol
cpd25593	C6H4O5	(3Z)-2-oxohex-3-enedioate
cpd25590	C6H3ClO5	2-hydroxy-5-chloromuconate
cpd25591	C6H7O3	2-oxo-4-hexenoate
cpd07204	C15H10O4	Chrysophanol
cpd22807	C18H22N6O5	7,8-H2pterin-6-ylmethyl-l-(4-aminophenyl)-1-deoxy-D-ribitol
cpd22806	C18H22N6O8P	7,8-H2pterin-6-ylmethyl-l-(4-aminophenyl)-1-deoxy-D-ribitol 5'-phosphate
cpd22801	C10H18N2O5	2,4-bis(acetylamino)-2,4,6-trideoxy-beta-L-altropyranose
cpd22800	C19H28N4O16P2	UDP-2,4-bis(acetylamino)-2,4,6-trideoxy-beta-L-altropyranose
